TOURNAMENT_ID,YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
49,1962,Australian Open,Rod Laver,Roy Emerson,Australian,,,left,Grass,
48,1961,U.S. Open,Roy Emerson,Rod Laver,Australian,,,right,outdoors,
47,1961,Wimbledon,Rod Laver,Chuck McKinley,Australian,,,left,Grass / Outdoor,
46,1961,French Open,Manuel Santana,Nicola Pietrangeli,Spanish,,,right,Clay,
45,1961,Australian Open,Roy Emerson,Rod Laver,Australian,,,right,Grass,
44,1960,U.S. Open,Neale Fraser,Rod Laver,Australian,,,left,outdoors,
43,1960,Wimbledon,Neale Fraser,Rod Laver,Australian,,,left,Grass / Outdoor,
42,1960,French Open,Nicola Pietrangeli,Luis Ayala,Italian,,,right,Clay,
41,1960,Australian Open,Rod Laver,Neale Fraser,Australian,,,left,Grass,
40,1959,U.S. Open,Neale Fraser,Alejandro Olmedo,Australian,,,left,outdoors,
39,1959,Wimbledon,Alejandro Olmedo,Rod Laver,peruvian,,,right,Grass / Outdoor,
38,1959,French Open,Nicola Pietrangeli,Ian Vermaak,Italian,,,right,Clay,
37,1959,Australian Open,Alex Olmedo,Neale Fraser,peruvian,,,right,Grass,
36,1958,U.S. Open,Ashley J. Cooper,Malcolm J. Anderson,Australian,,,right,outdoors,
35,1958,Wimbledon,Ashley J. Cooper,Neale Fraser,Australian,,,right,Grass / Outdoor,
34,1958,French Open,Mervyn Rose,Luis Ayala,Australian,,,right,Clay,
33,1958,Australian Open,Ashley J. Cooper,Mal Anderson,Australian,,,right,Grass,
32,1957,U.S. Open,Malcolm J. Anderson,Ashley J. Cooper,Australian,,,right,outdoors,
31,1957,Wimbledon,Lewis Hoad,Ashley Cooper,Australian,,,right,Grass / Outdoor,
30,1957,French Open,Sven Davidson,Herbert Flam,Swedish,,,right,Clay,
29,1957,Australian Open,Ashley J. Cooper,Neale Fraser,Australian,,,right,Grass,
