TOURNAMENT_ID,YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
129,1981,Australian Open,Johan Kriek,Steve Denton,American,,,right,Grass,72000
128,1981,U.S. Open,John McEnroe,Bjorn Borg,American,,,left,DecoTurf - outdoors,66000
127,1981,Wimbledon,John McEnroe,Bjorn Borg,American,,,left,Grass / Outdoor,21600
126,1981,French Open,Bjorn Borg,Ivan Lendl,Swedish,,,right,Clay,250000
125,1980,Australian Open,Brian Teacher,Kim Warwick,American,,,right,Grass,64000
124,1980,U.S. Open,John McEnroe,Bjorn Borg,American,,,left,DecoTurf - outdoors,46000
123,1980,Wimbledon,Bjorn Borg,John McEnroe,Swedish,,,right,Grass / Outdoor,20000
122,1980,French Open,Bjorn Borg,Vitas Gerulaitis,Swedish,,,right,Clay,221000
121,1979,Australian Open,Guillermo Vilas,John Sadri,Argentine,,,left,Grass,50015
120,1979,U.S. Open,John McEnroe,Vitas Gerulaitis,American,,,left,DecoTurf - outdoors,39000
119,1979,Wimbledon,Bjorn Borg,Roscoe Tanner,Swedish,,,right,Grass / Outdoor,20000
